104
0 0 1280 720 tlolvl1 0 0 0
1280 0 1280 720 tlolvl1 0 0 0
2560 0 1280 720 tlolvl1 0 0 0
3840 0 1280 720 tlolvl1 0 0 0
5120 0 1280 720 tlolvl1 0 0 0
0 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 0
300 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 1
600 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 2
900 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 0
1200 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 1
1500 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 2
1800 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 0
2100 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 1
2400 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 2
2700 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 0
3000 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 1
3300 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 2
3600 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 0
3900 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 1
4200 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 2
4500 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 0
4800 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 1
5100 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 2
5400 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 0
5700 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 1
6000 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 2
6300 540 300 75 faleszambatest 3 0 2 0.30 0 2 0.30 0 2 0.30 0 0
0 520 500 40 platform1 0 1 0
490 520 300 40 platform2 0 1 0
2050 520 500 40 platform1 0 1 0
3490 460 80 40 platform3 0 1 0
3800 460 80 40 platform3 0 1 0
4120 460 80 40 platform3 0 1 0
4600 520 500 40 platform1 0 1 0
5000 160 500 40 platform1 0 1 0
4500 160 500 40 platform1 0 1 0
3980 200 300 40 platform2 0 1 0
2990 160 500 40 platform1 0 1 0
2530 200 300 40 platform2 0 1 0
2030 200 500 40 platform1 0 1 0
780 260 500 40 platform1 0 1 0
30 400 15 40 torch 1 0 2 0.1 0 0
300 400 15 40 torch 1 0 2 0.1 0 0
560 400 15 40 torch 1 0 2 0.1 0 0
4960 420 15 40 torch 1 0 2 0.1 0 0
5440 60 15 40 torch 1 0 2 0.1 0 0
5140 60 15 40 torch 1 0 2 0.1 0 0
4860 60 15 40 torch 1 0 2 0.1 0 0
4550 60 15 40 torch 1 0 2 0.1 0 0
4120 120 15 40 torch 1 0 2 0.1 0 0
3660 80 15 40 torch 1 0 2 0.1 0 0
3400 80 15 40 torch 1 0 2 0.1 0 0
3130 80 15 40 torch 1 0 2 0.1 0 0
2670 120 15 40 torch 1 0 2 0.1 0 0
2420 120 15 40 torch 1 0 2 0.1 0 0
2120 120 15 40 torch 1 0 2 0.1 0 0
2550 520 500 40 platform1 0 1 0
1040 520 500 40 platform1 0 1 0
5100 520 500 40 platform1 0 1 0
2920 440 300 40 platform2 0 1 0
4290 440 300 40 platform2 0 1 0
5650 440 80 40 platform3 0 1 0
5470 400 80 40 platform3 0 1 0
5610 340 80 40 platform3 0 1 0
5470 300 80 40 platform3 0 1 0
5500 200 80 40 platform3 0 1 0
350 140 80 40 platform3 0 1 0
210 120 80 40 platform3 0 1 0
230 40 45 70 wyjsciezkanalow 0 5 0
3490 160 300 40 platform2 0 1 0
1540 520 500 40 platform1 0 1 0
5700 240 80 40 platform3 0 1 0
1330 300 300 40 platform2x 0 3 0
1730 260 300 40 platform2 0 1 0
5020 320 300 40 platform2 0 1 0
5020 280 40 40 wajha 2 0 0 0 0 0 0 2 0
450 200 300 40 platform2 0 1 0
2890 430 15 40 torch 1 0 2 0.1 0 0
2620 440 15 40 torch 1 0 2 0.1 0 0
2440 440 15 40 torch 1 0 2 0.1 0 0
2120 430 15 40 torch 1 0 2 0.1 0 0
1780 190 15 40 torch 1 0 2 0.1 0 0
1920 420 15 40 torch 1 0 2 0.1 0 0
1620 420 15 40 torch 1 0 2 0.1 0 0
1100 430 15 40 torch 1 0 2 0.1 0 0
1440 430 15 40 torch 1 0 2 0.1 0 0
1220 190 15 40 torch 1 0 2 0.1 0 0
860 180 15 40 torch 1 0 2 0.1 0 0
700 130 15 40 torch 1 0 2 0.1 0 0
540 120 15 40 torch 1 0 2 0.1 0 0
4020 140 15 40 torch 1 0 2 0.1 0 0
4220 130 15 40 torch 1 0 2 0.1 0 0
4340 350 15 40 torch 1 0 2 0.1 0 0
4530 350 15 40 torch 1 0 2 0.1 0 0
4700 430 15 40 torch 1 0 2 0.1 0 0
5160 430 15 40 torch 1 0 2 0.1 0 0
5510 430 15 40 torch 1 0 2 0.1 0 0
5260 250 15 40 torch 1 0 2 0.1 0 0
3980 350 15 40 torch 1 0 2 0.1 0 0
3670 350 15 40 torch 1 0 2 0.1 0 0
2980 360 15 40 torch 1 0 2 0.1 0 0
3170 360 15 40 torch 1 0 2 0.1 0 0
200 50 15 40 torch 1 0 2 0.1 0 0
290 50 15 40 torch 1 0 2 0.1 0 0
